CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12431,35.0,15,6487.45,2,3,3,Good Customers
12432,,5,5059.32,1,2,3,Inactive Customers
12433,0.0,7,13375.87,3,2,3,Good Customers
12434,,2,806.14,1,1,1,Inactive Customers
12435,,2,7829.89,1,1,3,Inactive Customers
12436,99.0,1,509.01,1,1,1,Inactive Customers
12437,1.0,18,4951.41,3,3,2,Best Customers
12438,,2,2906.85,1,1,2,Inactive Customers
12441,366.0,1,173.55,1,1,1,Inactive Customers
12442,2.0,1,172.06,3,1,1,Low Value Customers
12444,58.0,5,5005.46,2,2,3,Good Customers
12445,,1,133.4,1,1,1,Inactive Customers
12446,,1,1002.3100000000001,1,1,1,Inactive Customers
12447,242.0,1,476.49,1,1,1,Inactive Customers
12448,,1,449.45,1,1,1,Inactive Customers
12449,91.0,4,4067.29,1,1,2,Inactive Customers
12450,155.0,2,197.88,1,1,1,Inactive Customers
12451,64.0,5,9035.52,2,2,3,Good Customers
12452,,2,430.57000000000005,1,1,1,Inactive Customers
12453,,1,707.09,1,1,1,Inactive Customers
12454,,1,3528.34,1,1,2,Inactive Customers
12455,127.0,6,2466.86,1,2,2,Inactive Customers
12456,,3,3181.04,1,1,2,Inactive Customers
12457,65.0,7,2363.23,2,2,2,Good Customers
12458,,2,947.4,1,1,1,Inactive Customers
12461,93.0,2,826.88,1,1,1,Inactive Customers
12462,302.0,2,1189.59,1,1,1,Inactive Customers
12463,241.0,4,1344.78,1,1,1,Inactive Customers
12464,308.0,8,1212.05,1,2,1,Inactive Customers
12465,,2,742.19,1,1,1,Inactive Customers
12468,187.0,2,729.54,1,1,1,Inactive Customers
12471,1.0,30,19824.05,3,3,3,Best Customers
12472,31.0,7,6572.11,2,2,3,Good Customers
12473,28.0,5,3938.55,3,2,2,Good Customers
12474,59.0,18,7375.79,2,3,3,Good Customers
12475,,1,723.38,1,1,1,Inactive Customers
12476,217.0,11,6816.42,1,3,3,Inactive Customers
12477,63.0,6,13219.74,2,2,3,Good Customers
12478,3.0,1,680.99,3,1,1,Low Value Customers
12479,,1,527.2,1,1,1,Inactive Customers
12480,27.0,4,3281.63,3,1,2,Low Value Customers
12481,65.0,10,5596.32,2,3,3,Good Customers
12483,98.0,8,2484.98,1,2,2,Inactive Customers
12484,32.0,6,4541.72,2,2,2,Good Customers
12488,,3,1298.66,1,1,1,Inactive Customers
12489,335.0,1,334.93,1,1,1,Inactive Customers
12490,4.0,10,5417.93,3,3,3,Best Customers
12491,38.0,1,460.40000000000003,2,1,1,Low Value Customers
12492,62.0,2,263.21000000000004,2,1,1,Low Value Customers
12493,,2,433.74,1,1,1,Inactive Customers
12494,161.0,7,1246.1,1,2,1,Inactive Customers
12497,,1,1043.1,1,1,1,Inactive Customers
12498,,3,403.70000000000005,1,1,1,Inactive Customers
12500,64.0,11,4257.82,2,3,2,Good Customers
12501,336.0,1,2169.39,1,1,2,Inactive Customers
12502,95.0,5,3723.87,1,2,2,Inactive Customers
12504,29.0,2,482.04999999999995,3,1,1,Low Value Customers
12506,,1,73.5,1,1,1,Inactive Customers
12507,155.0,3,1304.81,1,1,1,Inactive Customers
12508,28.0,2,398.27,3,1,1,Low Value Customers
12509,,1,176.5,1,1,1,Inactive Customers
12510,,2,982.5699999999999,1,1,1,Inactive Customers
12512,65.0,2,138.03,2,1,1,Low Value Customers
12513,,1,612.29,1,1,1,Inactive Customers
12514,,1,1017.6800000000001,1,1,1,Inactive Customers
12515,,1,383.7,1,1,1,Inactive Customers
12516,180.0,2,1312.06,1,1,1,Inactive Customers
12517,27.0,5,2502.84,3,2,2,Good Customers
12518,0.0,5,2056.89,3,2,2,Good Customers
12519,63.0,1,340.84000000000003,2,1,1,Low Value Customers
12520,273.0,5,2634.26,1,2,2,Inactive Customers
12521,,1,599.68,1,1,1,Inactive Customers
12522,,2,192.72,1,1,1,Inactive Customers
12523,63.0,11,1789.77,2,3,1,Good Customers
12524,63.0,8,4485.72,2,2,2,Good Customers
12526,0.0,3,1316.66,3,1,1,Low Value Customers
12527,,3,348.71000000000004,1,1,1,Inactive Customers
12528,63.0,6,1933.48,2,2,1,Good Customers
12530,59.0,4,1662.28,2,1,1,Low Value Customers
12531,,1,125.22,1,1,1,Inactive Customers
12532,29.0,1,349.83000000000004,3,1,1,Low Value Customers
12534,130.0,1,1089.18,1,1,1,Inactive Customers
12535,91.0,2,716.35,1,1,1,Inactive Customers
12536,58.0,3,12601.830000000002,2,1,3,Low Value Customers
12538,28.0,1,363.95,3,1,1,Low Value Customers
12539,333.0,4,5568.35,1,1,3,Inactive Customers
12540,30.0,17,13400.24,3,3,3,Best Customers
12541,29.0,3,981.18,3,1,1,Low Value Customers
12544,35.0,1,372.7,2,1,1,Low Value Customers
12545,,2,1000.39,1,1,1,Inactive Customers
12546,,2,1161.5,1,1,1,Inactive Customers
12547,280.0,2,207.8,1,1,1,Inactive Customers
12548,,1,95.19999999999999,1,1,1,Inactive Customers
12550,,1,964.83,1,1,1,Inactive Customers
12551,,1,168.0,1,1,1,Inactive Customers
12552,38.0,2,437.82,2,1,1,Low Value Customers
12553,7.0,10,3692.28,3,3,2,Best Customers
12556,150.0,2,603.71,1,1,1,Inactive Customers
12557,157.0,5,11990.960000000001,1,2,3,Inactive Customers
12558,7.0,1,269.96,3,1,1,Low Value Customers
12559,310.0,2,561.71,1,1,1,Inactive Customers
12560,4.0,3,2134.01,3,1,2,Low Value Customers
12561,302.0,1,238.85,1,1,1,Inactive Customers
12562,7.0,7,3781.7400000000002,3,2,2,Good Customers
12564,,1,456.90000000000003,1,1,1,Inactive Customers
12565,,1,145.92000000000002,1,1,1,Inactive Customers
12566,,1,351.65,1,1,1,Inactive Customers
12567,95.0,10,9401.28,1,3,3,Inactive Customers
12569,1.0,32,4124.6900000000005,3,3,2,Best Customers
12571,121.0,2,519.61,1,1,1,Inactive Customers
12572,8.0,2,1020.4200000000001,3,1,1,Low Value Customers
12573,,1,160.54000000000002,1,1,1,Inactive Customers
12574,,1,218.45000000000002,1,1,1,Inactive Customers
12576,35.0,5,1315.83,2,2,1,Good Customers
12577,34.0,3,657.8,2,1,1,Low Value Customers
12578,,2,2794.51,1,1,2,Inactive Customers
12579,,1,440.42,1,1,1,Inactive Customers
12580,246.0,1,415.7,1,1,1,Inactive Customers
12581,,1,197.71,1,1,1,Inactive Customers
12582,,2,511.36,1,1,1,Inactive Customers
12583,2.0,15,7281.38,3,3,3,Best Customers
12584,3.0,9,2338.15,3,2,2,Good Customers
12585,,2,2040.1,1,1,2,Inactive Customers
12586,,1,196.94000000000003,1,1,1,Inactive Customers
12587,7.0,1,144.0,3,1,1,Low Value Customers
12588,,1,214.89999999999998,1,1,1,Inactive Customers
12589,28.0,2,646.68,3,1,1,Low Value Customers
12590,210.0,2,9864.26,1,1,3,Inactive Customers
12591,,1,452.84999999999997,1,1,1,Inactive Customers
12592,91.0,2,437.6,1,1,1,Inactive Customers
12593,129.0,3,418.1,1,1,1,Inactive Customers
12594,37.0,10,3338.2200000000003,2,3,2,Good Customers
12596,241.0,2,618.27,1,1,1,Inactive Customers
12597,182.0,4,3811.22,1,1,2,Inactive Customers
12598,28.0,8,3023.08,3,2,2,Good Customers
12599,28.0,7,1032.58,3,2,1,Good Customers
12600,28.0,10,2599.04,3,3,2,Best Customers
12601,189.0,5,577.0600000000001,1,2,1,Inactive Customers
12602,58.0,1,153.12,2,1,1,Low Value Customers
12603,,1,739.1999999999999,1,1,1,Inactive Customers
12604,,2,254.18,1,1,1,Inactive Customers
12607,59.0,1,1579.51,2,1,1,Low Value Customers
12609,185.0,3,1126.85,1,1,1,Inactive Customers
12610,125.0,5,2099.54,1,2,2,Inactive Customers
12611,,1,1193.32,1,1,1,Inactive Customers
12612,,1,704.04,1,1,1,Inactive Customers
12613,,5,3344.38,1,2,2,Inactive Customers
12614,277.0,1,315.6,1,1,1,Inactive Customers
12615,1.0,4,2291.19,3,1,2,Low Value Customers
12616,94.0,2,713.3,1,1,1,Inactive Customers
12617,28.0,1,355.53000000000003,3,1,1,Low Value Customers
12618,,1,177.31,1,1,1,Inactive Customers
12619,33.0,9,3641.24,2,2,2,Good Customers
12620,,3,1339.41,1,1,1,Inactive Customers
12621,1.0,20,13689.67,3,3,3,Best Customers
12622,,1,180.1,1,1,1,Inactive Customers
12623,275.0,1,305.1,1,1,1,Inactive Customers
12624,,2,641.13,1,1,1,Inactive Customers
12625,211.0,2,2683.82,1,1,2,Inactive Customers
12626,63.0,9,6620.4800000000005,2,2,3,Good Customers
12627,63.0,7,4478.53,2,2,2,Good Customers
12628,3.0,3,786.46,3,1,1,Low Value Customers
12630,,2,1270.88,1,1,1,Inactive Customers
12631,,1,640.5,1,1,1,Inactive Customers
12633,58.0,4,2163.98,2,1,2,Low Value Customers
12635,89.0,2,1689.18,2,1,1,Low Value Customers
12637,66.0,8,6021.9,2,2,3,Good Customers
12638,32.0,1,671.69,2,1,1,Low Value Customers
12639,,1,486.1,1,1,1,Inactive Customers
12640,,3,1174.58,1,1,1,Inactive Customers
12641,,1,185.9,1,1,1,Inactive Customers
12642,,3,1013.26,1,1,1,Inactive Customers
12643,127.0,6,3344.64,1,2,2,Inactive Customers
12644,129.0,1,477.90999999999997,1,1,1,Inactive Customers
12645,33.0,4,1775.18,2,1,1,Low Value Customers
12646,4.0,2,1346.97,3,1,1,Low Value Customers
12647,88.0,12,3722.82,2,3,2,Good Customers
12648,154.0,1,318.05,1,1,1,Inactive Customers
12649,211.0,3,623.51,1,1,1,Inactive Customers
12650,2.0,1,314.44,3,1,1,Low Value Customers
12651,334.0,1,114.0,1,1,1,Inactive Customers
12652,330.0,1,919.98,1,1,1,Inactive Customers
12653,,2,2209.85,1,1,2,Inactive Customers
12654,36.0,5,601.98,2,2,1,Good Customers
12656,,5,4051.17,1,2,2,Inactive Customers
12657,,4,1643.18,1,1,1,Inactive Customers
12658,,1,686.05,1,1,1,Inactive Customers
12659,29.0,1,91.68,3,1,1,Low Value Customers
12660,,1,245.10000000000002,1,1,1,Inactive Customers
12662,0.0,11,3849.78,3,3,2,Best Customers
12664,7.0,9,4881.88,3,2,2,Good Customers
12665,,1,63.0,1,1,1,Inactive Customers
12667,57.0,1,620.13,2,1,1,Low Value Customers
12668,,4,3807.15,1,1,2,Inactive Customers
12669,150.0,3,2744.0299999999997,1,1,2,Inactive Customers
12670,28.0,5,2996.05,3,2,2,Good Customers
12672,,1,225.9,1,1,1,Inactive Customers
12673,4.0,2,610.52,3,1,1,Low Value Customers
12674,38.0,4,1970.6,2,1,1,Low Value Customers
12676,123.0,6,1331.39,1,2,1,Inactive Customers
12678,187.0,12,17628.46,1,3,3,Inactive Customers
12679,58.0,4,1113.02,2,1,1,Low Value Customers
12680,0.0,4,862.81,3,1,1,Low Value Customers
12681,30.0,22,13787.54,3,3,3,Best Customers
12682,3.0,31,12288.22,3,3,3,Best Customers
12683,3.0,15,8476.57,3,3,3,Best Customers
12684,7.0,7,2283.63,3,2,2,Good Customers
12685,27.0,6,2863.08,3,2,2,Good Customers
12686,371.0,1,89.14,1,1,1,Inactive Customers
12688,,1,4873.81,1,1,2,Inactive Customers
12689,127.0,2,1247.6100000000001,1,1,1,Inactive Customers
12690,,1,389.01,1,1,1,Inactive Customers
12691,27.0,6,1035.8,3,2,1,Good Customers
12693,126.0,4,855.91,1,1,1,Inactive Customers
12694,182.0,2,869.67,1,1,1,Inactive Customers
12695,6.0,4,582.1,3,1,1,Low Value Customers
12697,28.0,3,957.59,3,1,1,Low Value Customers
12700,7.0,4,4939.99,3,1,2,Low Value Customers
12701,241.0,2,797.71,1,1,1,Inactive Customers
12702,,1,219.0,1,1,1,Inactive Customers
12703,,1,283.55,1,1,1,Inactive Customers
12704,6.0,8,2340.84,3,2,2,Good Customers
12705,157.0,9,6868.29,1,2,3,Inactive Customers
12707,,1,603.42,1,1,1,Inactive Customers
12708,29.0,10,2712.91,3,3,2,Best Customers
12709,58.0,15,9736.52,2,3,3,Good Customers
12710,96.0,3,1149.02,1,1,1,Inactive Customers
12712,28.0,13,4396.13,3,3,2,Best Customers
12713,0.0,1,848.55,3,1,1,Low Value Customers
12714,,5,4708.86,1,2,2,Inactive Customers
12715,,1,353.86,1,1,1,Inactive Customers
12716,3.0,2,1053.49,3,1,1,Low Value Customers
12717,150.0,2,1030.98,1,1,1,Inactive Customers
12718,,1,238.25,1,1,1,Inactive Customers
12719,4.0,2,644.95,3,1,1,Low Value Customers
12720,2.0,25,5781.7300000000005,3,3,3,Best Customers
12721,31.0,6,2656.13,2,2,2,Good Customers
12722,150.0,4,997.63,1,1,1,Inactive Customers
12723,3.0,5,725.07,3,2,1,Good Customers
12724,4.0,4,1031.41,3,1,1,Low Value Customers
12725,370.0,1,427.8,1,1,1,Inactive Customers
12726,27.0,7,2609.1,3,2,2,Good Customers
12727,94.0,7,3980.7000000000003,1,2,2,Inactive Customers
12728,331.0,4,836.33,1,1,1,Inactive Customers
12729,,1,453.01,1,1,1,Inactive Customers
12731,211.0,12,18895.91,1,3,3,Inactive Customers
12732,,1,236.26000000000002,1,1,1,Inactive Customers
12733,,1,383.95,1,1,1,Inactive Customers
12734,,1,110.39999999999999,1,1,1,Inactive Customers
12735,336.0,2,779.5699999999999,1,1,1,Inactive Customers
12736,332.0,1,234.0,1,1,1,Inactive Customers
12738,371.0,1,155.35,1,1,1,Inactive Customers
12739,98.0,2,1013.04,1,1,1,Inactive Customers
12740,63.0,1,427.6,2,1,1,Low Value Customers
12743,,2,546.43,1,1,1,Inactive Customers
12744,248.0,7,21279.29,1,2,3,Inactive Customers
12747,1.0,11,4196.01,3,3,2,Best Customers
12748,0.0,209,33719.73,3,3,3,Best Customers
12749,3.0,5,4090.88,3,2,2,Good Customers
12750,128.0,1,275.88,1,1,1,Inactive Customers
12752,,1,4366.78,1,1,2,Inactive Customers
12753,247.0,6,21429.39,1,2,3,Inactive Customers
12754,276.0,3,3010.74,1,1,2,Inactive Customers
12755,280.0,2,3811.9500000000003,1,1,2,Inactive Customers
12756,,1,112.08,1,1,1,Inactive Customers
12757,28.0,13,7857.1,3,3,3,Best Customers
12758,276.0,2,2791.59,1,1,2,Inactive Customers
12759,275.0,3,1531.44,1,1,1,Inactive Customers
12762,7.0,2,1898.52,3,1,1,Low Value Customers
12763,368.0,2,494.08,1,1,1,Inactive Customers
12764,,1,1693.88,1,1,1,Inactive Customers
12766,3.0,7,6989.63,3,2,3,Good Customers
12769,,1,1143.6,1,1,1,Inactive Customers
12770,,1,1351.45,1,1,1,Inactive Customers
12772,59.0,1,892.47,2,1,1,Low Value Customers
12775,189.0,5,1386.04,1,2,1,Inactive Customers
12778,62.0,6,822.23,2,2,1,Good Customers
12779,37.0,8,3981.36,2,2,2,Good Customers
12781,63.0,2,826.74,2,1,1,Low Value Customers
12782,4.0,5,2330.92,3,2,2,Good Customers
12783,1.0,6,2225.91,3,2,2,Good Customers
12784,,2,574.42,1,1,1,Inactive Customers
12785,363.0,1,311.95,1,1,1,Inactive Customers
12787,91.0,3,463.66,1,1,1,Inactive Customers
12789,64.0,1,91.85,2,1,1,Low Value Customers
12790,,1,324.92,1,1,1,Inactive Customers
12791,373.0,1,192.60000000000002,1,1,1,Inactive Customers
12792,,1,400.54,1,1,1,Inactive Customers
12793,334.0,2,545.48,1,1,1,Inactive Customers
12794,98.0,2,860.41,1,1,1,Inactive Customers
12795,,1,430.48,1,1,1,Inactive Customers
12797,365.0,1,254.03,1,1,1,Inactive Customers
12798,,3,6977.04,1,1,3,Inactive Customers
12802,186.0,1,427.58,1,1,1,Inactive Customers
12808,36.0,3,483.65000000000003,2,1,1,Low Value Customers
12809,,1,489.31,1,1,1,Inactive Customers
12811,,3,514.85,1,1,1,Inactive Customers
12812,,1,229.64000000000001,1,1,1,Inactive Customers
12814,,1,125.92,1,1,1,Inactive Customers
12815,,2,1063.46,1,1,1,Inactive Customers
12816,95.0,2,572.2,1,1,1,Inactive Customers
12817,280.0,1,166.04000000000002,1,1,1,Inactive Customers
12818,,1,1542.08,1,1,1,Inactive Customers
12820,2.0,4,942.34,3,1,1,Low Value Customers
12821,213.0,1,92.72,1,1,1,Inactive Customers
12822,,2,948.88,1,1,1,Inactive Customers
12823,126.0,5,1759.5,1,2,1,Inactive Customers
12824,59.0,1,397.12,2,1,1,Low Value Customers
12826,2.0,7,1474.72,3,2,1,Good Customers
12827,5.0,3,430.15,3,1,1,Low Value Customers
12828,2.0,6,1018.71,3,2,1,Good Customers
12829,336.0,2,293.0,1,1,1,Inactive Customers
12830,37.0,6,6814.64,2,2,3,Good Customers
12831,,1,215.05,1,1,1,Inactive Customers
12832,31.0,2,383.03000000000003,2,1,1,Low Value Customers
12833,,1,417.38,1,1,1,Inactive Customers
12834,282.0,1,312.38,1,1,1,Inactive Customers
12836,58.0,4,2612.86,2,1,2,Low Value Customers
12837,,1,134.1,1,1,1,Inactive Customers
12838,33.0,2,683.13,2,1,1,Low Value Customers
12839,2.0,14,5591.42,3,3,3,Best Customers
12840,182.0,4,2726.77,1,1,2,Inactive Customers
12841,4.0,25,4022.35,3,3,2,Best Customers
12842,308.0,2,1118.99,1,1,1,Inactive Customers
12843,65.0,8,1702.26,2,2,1,Good Customers
12844,28.0,2,325.96000000000004,3,1,1,Low Value Customers
12845,,4,354.09000000000003,1,1,1,Inactive Customers
12847,,1,871.54,1,1,1,Inactive Customers
12849,30.0,2,1050.89,3,1,1,Low Value Customers
12851,96.0,1,135.18,1,1,1,Inactive Customers
12852,,1,311.55,1,1,1,Inactive Customers
12853,,6,1957.1000000000001,1,2,1,Inactive Customers
12854,240.0,3,1324.5,1,1,1,Inactive Customers
12855,372.0,1,38.1,1,1,1,Inactive Customers
12856,7.0,6,2179.93,3,2,2,Good Customers
12857,302.0,2,1106.4,1,1,1,Inactive Customers
12863,,1,521.2,1,1,1,Inactive Customers
12864,,1,147.12,1,1,1,Inactive Customers
12865,123.0,2,1568.23,1,1,1,Inactive Customers
12866,282.0,1,559.12,1,1,1,Inactive Customers
12867,95.0,7,4036.82,1,2,2,Inactive Customers
12868,185.0,6,1607.0600000000002,1,2,1,Inactive Customers
12871,,2,380.64,1,1,1,Inactive Customers
12872,364.0,2,599.97,1,1,1,Inactive Customers
12873,281.0,1,374.0,1,1,1,Inactive Customers
12875,362.0,2,343.2300000000001,1,1,1,Inactive Customers
12876,,2,2218.02,1,1,2,Inactive Customers
12877,3.0,12,1535.77,3,3,1,Best Customers
12878,,2,854.99,1,1,1,Inactive Customers
12879,91.0,3,573.22,1,1,1,Inactive Customers
12881,275.0,1,298.0,1,1,1,Inactive Customers
12882,33.0,2,1463.04,2,1,1,Low Value Customers
12883,88.0,4,703.47,2,1,1,Low Value Customers
12884,87.0,1,309.05,2,1,1,Low Value Customers
12885,62.0,3,1175.22,2,1,1,Low Value Customers
12886,67.0,2,1378.4,2,1,1,Low Value Customers
12888,213.0,2,354.12,1,1,1,Inactive Customers
12890,,1,380.46999999999997,1,1,1,Inactive Customers
12891,185.0,3,331.0,1,1,1,Inactive Customers
12893,30.0,1,188.14,3,1,1,Low Value Customers
12895,,2,372.8,1,1,1,Inactive Customers
12897,301.0,2,216.5,1,1,1,Inactive Customers
12901,8.0,28,17654.54,3,3,3,Best Customers
12902,,1,138.68,1,1,1,Inactive Customers
12904,,2,509.58,1,1,1,Inactive Customers
12906,,5,2919.81,1,2,2,Inactive Customers
12908,,2,750.0,1,1,1,Inactive Customers
12909,,5,2178.67,1,2,2,Inactive Customers
12910,63.0,8,3075.04,2,2,2,Good Customers
12912,2.0,5,1662.3,3,2,1,Good Customers
12913,4.0,5,2483.63,3,2,2,Good Customers
12915,372.0,2,363.65,1,1,1,Inactive Customers
12916,,4,3006.15,1,1,2,Inactive Customers
12917,127.0,1,594.0,1,1,1,Inactive Customers
12919,7.0,6,1335.19,3,2,1,Good Customers
12920,,1,164.23,1,1,1,Inactive Customers
12921,30.0,37,16587.09,3,3,3,Best Customers
12922,160.0,1,405.38,1,1,1,Inactive Customers
12923,63.0,1,176.97,2,1,1,Low Value Customers
12924,87.0,4,933.7,2,1,1,Low Value Customers
12925,4.0,2,694.05,3,1,1,Low Value Customers
12928,34.0,5,2062.7,2,2,2,Good Customers
12929,311.0,1,117.85,1,1,1,Inactive Customers
12930,,2,415.8,1,1,1,Inactive Customers
12931,29.0,15,42055.96,3,3,3,Best Customers
12933,283.0,3,607.53,1,1,1,Inactive Customers
12935,1.0,7,2160.7,3,2,2,Good Customers
12936,,4,1063.9,1,1,1,Inactive Customers
12937,,4,1504.27,1,1,1,Inactive Customers
12938,,1,114.14,1,1,1,Inactive Customers
12939,63.0,8,11581.8,2,2,3,Good Customers
12940,,2,913.54,1,1,1,Inactive Customers
12942,365.0,3,683.9,1,1,1,Inactive Customers
12944,35.0,2,604.51,2,1,1,Low Value Customers
12945,,1,462.95,1,1,1,Inactive Customers
12947,181.0,6,1603.99,1,2,1,Inactive Customers
12948,58.0,7,2064.95,2,2,2,Good Customers
12949,30.0,8,4167.22,3,2,2,Good Customers
12950,1.0,3,1843.0,3,1,1,Low Value Customers
12951,8.0,6,1064.07,3,2,1,Good Customers
12952,5.0,4,1387.79,3,1,1,Low Value Customers
12953,,1,329.85,1,1,1,Inactive Customers
12955,0.0,11,4757.16,3,3,2,Best Customers
12956,305.0,1,108.07,1,1,1,Inactive Customers
12957,185.0,8,4017.54,1,2,2,Inactive Customers
12962,6.0,2,266.39,3,1,1,Low Value Customers
12963,7.0,8,1856.63,3,2,1,Good Customers
12965,88.0,1,771.91,2,1,1,Low Value Customers
12966,,1,160.18,1,1,1,Inactive Customers
12967,371.0,2,1660.9,1,1,1,Inactive Customers
12968,,1,135.95,1,1,1,Inactive Customers
12970,6.0,4,452.24,3,1,1,Low Value Customers
12971,3.0,86,11189.91,3,3,3,Best Customers
12974,,1,144.8,1,1,1,Inactive Customers
12976,211.0,1,738.6,1,1,1,Inactive Customers
12977,155.0,1,39.239999999999995,1,1,1,Inactive Customers
12980,157.0,9,7374.900000000001,1,2,3,Inactive Customers
12981,29.0,2,372.21999999999997,3,1,1,Low Value Customers
12982,242.0,1,390.54,1,1,1,Inactive Customers
12984,,1,97.5,1,1,1,Inactive Customers
12985,0.0,2,1239.38,3,1,1,Low Value Customers
12987,,2,558.7,1,1,1,Inactive Customers
12988,,1,535.32,1,1,1,Inactive Customers
12989,2.0,15,6924.11,3,3,3,Best Customers
12990,30.0,3,409.5,3,1,1,Low Value Customers
12991,,2,503.76,1,1,1,Inactive Customers
12993,120.0,4,414.76,1,1,1,Inactive Customers
12994,3.0,3,974.42,3,1,1,Low Value Customers
12995,,1,211.32,1,1,1,Inactive Customers
12997,88.0,4,1226.89,2,1,1,Low Value Customers
12999,245.0,3,455.88,1,1,1,Inactive Customers
13000,364.0,3,534.85,1,1,1,Inactive Customers
13001,3.0,13,9818.82,3,3,3,Best Customers
13002,,1,120.95,1,1,1,Inactive Customers
13003,150.0,3,149.05,1,1,1,Inactive Customers
13004,35.0,18,5655.91,2,3,3,Good Customers
13005,245.0,2,513.7,1,1,1,Inactive Customers
13006,,1,81.57,1,1,1,Inactive Customers
13008,,1,229.47,1,1,1,Inactive Customers
13011,371.0,1,50.550000000000004,1,1,1,Inactive Customers
13012,212.0,8,1661.8400000000001,1,2,1,Inactive Customers
13013,0.0,13,4810.9400000000005,3,3,2,Best Customers
13014,31.0,10,3466.28,2,3,2,Good Customers
13015,245.0,5,3346.28,1,2,2,Inactive Customers
13016,122.0,3,789.89,1,1,1,Inactive Customers
13017,6.0,1,204.0,3,1,1,Low Value Customers
13018,30.0,28,7277.7,3,3,3,Best Customers
13021,3.0,9,2616.38,3,2,2,Good Customers
13023,63.0,2,689.9,2,1,1,Low Value Customers
13026,0.0,5,975.36,3,2,1,Good Customers
13027,155.0,6,6912.0,1,2,3,Inactive Customers
13028,,2,661.3199999999999,1,1,1,Inactive Customers
13029,30.0,3,1247.5,3,1,1,Low Value Customers
